Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,30,26.8,61.4,38,418,"3,420",38,73,61,134,69,4,5,57,,1.92,1.61,3.53,1.82,3.42
Bournemouth,22,26.9,48.1,38,418,"3,420",38,45,36,81,42,3,3,57,,1.18,0.95,2.13,1.11,2.05
Brighton,24,27.5,43.7,38,418,"3,420",38,33,25,58,28,5,7,54,,0.87,0.66,1.53,0.74,1.39
Burnley,24,27.5,43.7,38,418,"3,420",38,35,26,61,35,0,0,65,,0.92,0.68,1.61,0.92,1.61
Chelsea,26,26.7,55.6,38,418,"3,420",38,60,42,102,57,3,3,46,,1.58,1.11,2.68,1.5,2.61
Crystal Palace,28,27.1,45.2,38,418,"3,420",38,44,26,70,36,8,10,72,,1.16,0.68,1.84,0.95,1.63
Everton,30,26.7,45.5,38,418,"3,420",38,42,26,68,37,5,8,55,,1.11,0.68,1.79,0.97,1.66
Huddersfield Town,25,26.4,45.7,38,418,"3,420",38,25,19,44,23,2,2,65,,0.66,0.5,1.16,0.61,1.11
Leicester City,27,27.2,48,38,418,"3,420",38,53,38,91,48,5,6,60,,1.39,1,2.39,1.26,2.26
Liverpool,27,25.6,60.3,38,418,"3,420",38,82,58,140,80,2,3,44,,2.16,1.53,3.68,2.11,3.63
Manchester City,25,26.4,71,38,418,"3,420",38,103,85,188,97,6,8,63,,2.71,2.24,4.95,2.55,4.79
Manchester Utd,27,26.7,54.7,38,418,"3,420",38,67,53,120,66,1,3,64,,1.76,1.39,3.16,1.74,3.13
Newcastle United,27,25.6,41.7,38,418,"3,420",38,38,29,67,38,0,1,54,,1,0.76,1.76,1,1.76
Southampton,26,26.2,51.3,38,418,"3,420",38,36,23,59,33,3,3,65,,0.95,0.61,1.55,0.87,1.47
Stoke City,30,27.5,41.4,38,418,"3,420",38,34,28,62,34,0,3,62,,0.89,0.74,1.63,0.89,1.63
Swansea City,26,27.2,45.3,38,418,"3,420",38,27,20,47,26,1,1,51,,0.71,0.53,1.24,0.68,1.21
Tottenham Hotspur,25,25.8,61.8,38,418,"3,420",38,70,51,121,68,2,3,52,,1.84,1.34,3.18,1.79,3.13
Watford,29,27.9,49.7,38,418,"3,420",38,42,27,69,39,3,6,65,,1.11,0.71,1.82,1.03,1.74
West Brom,24,29.1,40.7,38,418,"3,420",38,31,24,55,30,1,1,73,,0.82,0.63,1.45,0.79,1.42
West Ham United,27,28,45.2,38,418,"3,420",38,48,29,77,46,2,4,75,,1.26,0.76,2.03,1.21,1.97
